Epoch,Training Loss,Validation Loss,Best Validation Loss,Accuracy,Precision,Recall,F1 Score,CSI Score,Best Recall,Learning Rate
1,0.226,0.284,0.284,0.896,0.502,0.850,0.631,0.461,0.850,0.05
2,0.180,0.163,0.163,0.923,0.614,0.707,0.658,0.490,0.850,0.05
3,0.177,0.157,0.157,0.928,0.685,0.576,0.626,0.456,0.850,0.05
4,0.175,0.165,0.157,0.928,0.673,0.607,0.638,0.469,0.850,0.05
5,0.177,0.162,0.157,0.928,0.714,0.517,0.600,0.429,0.850,0.05
6,0.175,0.158,0.157,0.927,0.649,0.672,0.660,0.493,0.850,0.05
7,0.174,0.156,0.156,0.929,0.683,0.605,0.642,0.473,0.850,0.05
8,0.173,0.162,0.156,0.928,0.728,0.503,0.595,0.424,0.850,0.05
9,0.173,0.205,0.156,0.916,0.571,0.802,0.667,0.500,0.850,0.05
10,0.171,0.152,0.152,0.930,0.688,0.613,0.649,0.480,0.850,0.05
11,0.171,0.155,0.152,0.929,0.653,0.689,0.670,0.504,0.850,0.05
12,0.171,0.159,0.152,0.927,0.768,0.433,0.553,0.383,0.850,0.05
13,0.170,0.160,0.152,0.928,0.719,0.522,0.605,0.434,0.850,0.05
99,0.148,0.145,0.140,0.934,0.688,0.675,0.681,0.517,0.850,0.00889892578125
100,0.149,0.145,0.140,0.933,0.696,0.647,0.671,0.505,0.850,0.00889892578125
